col,win,n_a,n_b,n_bal,n_drop,n_add,drop_pop_share,add_pop_share,biggest_drop,d_unbal,d_bal,disc,retained_a,dropped_a,keep_col
fin37,2014-2017,77,77,77,0,0,0.0,0.0,-,-0.595491448140022,-0.595491448140022,0.0,12.980684145463814,,False
fin37,2017-2021,77,77,77,0,0,0.0,0.0,-,4.189335543052074,4.189335543052074,0.0,12.385192697323792,,False
fin37,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.024469497304007604,0.561017668464773,-0.5854871657687806,15.989041074607085,17.804497758485656,False
fin37_38,2017-2021,77,77,77,0,0,0.0,0.0,-,3.7697629949985263,3.7697629949985263,0.0,16.376547738627746,,False
fin37_38,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.07347354694927333,0.10405851301138469,-0.17753205996065802,19.968778673665614,20.51926343866488,False
fin37_38_39c,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.06565804875858783,-0.06565804875858783,0.0,3.102570744120959,,False
fin37_38_39c,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.40724132298745275,-1.2376344671873887,0.8303931441999359,3.8673058395623072,1.2924538666668373,False
fin37_38_39d,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.37425805483244745,-0.37425805483244745,0.0,1.335255304027923,,False
fin37_38_39d,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.3937890217131217,-0.26694989669658153,-0.12683912501654016,0.8341581241789353,1.2274561343688402,False
fin37_39c,2014-2017,77,77,77,0,0,0.0,0.0,-,-2.595666480158464,-2.595666480158464,0.0,4.8069825027140505,,False
fin37_39c,2017-2021,77,77,77,0,0,0.0,0.0,-,0.41650260982950016,0.41650260982950016,0.0,2.2113160225555863,,False
fin37_39c,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.4741385160673328,-1.2419334170661758,0.767794900998843,3.3956135333839295,1.0148638494246458,False
fin37_39d,2014-2017,77,77,77,0,0,0.0,0.0,-,-2.4700898658972275,-2.4700898658972275,0.0,3.5582340223744118,,False
fin37_39d,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.27632945631324957,-0.27632945631324957,0.0,1.0881441564771843,,False
fin37_39d,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-0.3320776434176202,-0.22419402765662239,-0.10788361576099781,0.703931084402937,1.0384525611583124,False
fin38,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.07223810952712562,-0.07223810952712562,0.0,6.960651700440355,,False
fin38,2021-2024,77,71,71,6,0,32.25013138390797,0.0,China (26.4%),-1.34968921586814,-0.9018446641269087,-0.4478445517412313,6.440569039171998,7.829228658601324,False
fin38_39c,2017-2021,77,77,77,0,0,0.0,0.0,-,-0.612404565834093,-0.612404565834093,0.0,1.4359056667572063,,False
